Year,Students,Baseline,Optimistic,Pessimistic
2008,671616.0,,,
2009,690923.0,,,
2010,723277.0,,,
2011,764495.0,,,
2012,819644.0,,,
2013,886052.0,,,
2014,974926.0,,,
2015,1043839.0,,,
2016,1078822.0,,,
2017,1094792.0,,,
2018,1095299.0,,,
2019,1075496.0,,,
2020,914095.0,,,
2021,948519.0,,,
2022,1057188.0,,,
2023,,1091233.0,1122834.0,1028031.0
2024,,1121493.0,1189594.0,987494.0
2025,,1153199.0,1261194.0,944077.0
2026,,1186559.0,1338110.0,897812.0
2027,,1221717.0,1420805.0,848566.0
2028,,1258831.0,1509784.0,796189.0
2029,,1298067.0,1605593.0,740514.0
2030,,1339601.0,1708817.0,681347.0
2031,,1383620.0,1820088.0,618463.0
2032,,1430319.0,1940089.0,551594.0
